feature,psi,status
BMI,0.0020827130734568434,OK
PhysHlth,0.0010705028610324748,OK
Age,0.0009446337251981374,OK
MentHlth,0.0007340521738850539,OK
GenHlth,0.00019927746631531935,OK
NoDocbcCost,0.00014451023035294035,OK
Income,0.00013988457934463051,OK
Sex,0.00010122842617811897,OK
HvyAlcoholConsump,4.1991965244522824e-05,OK
Education,3.44229459987344e-05,OK
CholCheck,2.8617529596907473e-05,OK
Stroke,2.42868758723812e-05,OK
AnyHealthcare,2.2482455716149247e-05,OK
Smoker,2.1098643236832044e-05,OK
Fruits,1.266793152177113e-05,OK
HeartDiseaseorAttack,2.95664066277321e-06,OK
DiffWalk,2.7136434009890177e-06,OK
PhysActivity,2.669909625516717e-07,OK
Veggies,2.666641989330705e-07,OK
HighBP,1.918998910386317e-07,OK
HighChol,1.6711280838069593e-07,OK
